filename,mean_pitch_hz,jitter_local,shimmer_local,speech_rate_onsets_per_sec,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean
03-01-01-01-01-01-01.wav,111.84901197907737,0.04189490357907766,0.0,3.027283391566493,-726.2172,68.54142,3.2933977,12.2053,5.5102777,13.667408,-2.9838283,3.0980291,-3.3108134,-1.5643841,-7.8616524,-2.1242816,2.849204
03-01-01-01-01-02-01.wav,117.24506779797517,0.031211045295126236,0.0,3.5964035964035967,-719.1283,70.20157,1.168397,13.122543,7.83695,14.41129,-4.1113596,4.468973,-3.5393667,-3.6586075,-7.648504,-1.4770775,3.031821
03-01-01-01-02-01-01.wav,112.32946785626177,0.03179711454387163,0.0,2.140727337597798,-714.9957,69.68935,3.9245636,11.92419,6.4217234,11.011614,-2.878103,4.5095577,-4.476109,-2.6715493,-7.4992843,-2.9622655,1.8734848
03-01-01-01-02-02-01.wav,111.16959195991971,0.03767502013033565,0.0,1.8928439981071559,-710.9753,67.56488,5.7822404,13.230726,6.190845,12.628252,-1.6751692,5.6574936,-4.950634,-3.4775453,-7.416558,-1.937004,2.2715254
03-01-02-01-01-01-01.wav,117.90118536448162,0.03608079608693188,0.0,3.6755827035560085,-759.92175,75.78352,6.023605,14.557394,6.4541883,14.631508,-3.0045512,4.6209702,-5.200016,-0.7074301,-7.7902875,-3.5649488,2.18097
03-01-02-01-01-02-01.wav,107.00394794046187,0.023966925380306144,0.0,2.775015609462803,-735.0066,79.09305,8.141051,11.413549,5.174124,15.393283,-2.7520719,2.9645836,-5.388972,-1.6918324,-5.8528347,-4.0432878,3.0046408
03-01-02-01-02-01-01.wav,106.11569952271688,0.022702834766312543,0.0,1.998001998001998,-733.5249,81.58986,4.8633575,14.423687,5.2676888,13.96856,-3.0856166,7.1732454,-4.8214383,-0.9674487,-6.2504735,-3.8666399,3.3255188
03-01-02-01-02-02-01.wav,106.47052923297348,0.02406048828709186,0.0,2.0172062893610376,-728.363,82.324936,7.5005765,12.542465,6.7881255,14.805659,-2.9095802,6.9378386,-4.8443394,-1.8469235,-5.6877103,-3.6666536,2.2403512
03-01-02-02-01-01-01.wav,99.26107185701055,0.025729488606829616,0.0,3.7799952750059065,-771.62524,83.32755,9.759607,14.268048,6.201727,16.020977,-2.8468983,4.47025,-5.536262,0.87879485,-5.3482485,-3.029556,2.3405733
03-01-02-02-01-02-01.wav,108.37614601328806,0.03439191405017203,0.0,3.246753246753247,-733.9896,82.99157,3.7967932,13.411559,3.1084964,16.039553,-5.652945,5.5606713,-7.840987,-1.1772103,-5.7287865,-4.109694,3.882382
03-01-02-02-02-01-01.wav,126.24086064878568,0.02639680877547664,0.0,3.3299967294674975,-735.9587,83.71625,8.72074,16.973064,1.3004173,16.308208,-2.9989035,8.180385,-9.681773,1.4794084,-8.105539,-3.214418,3.27963
03-01-02-02-02-02-01.wav,106.71044228342107,0.021896299428304133,0.0,2.997002997002997,-724.8058,83.05965,0.8636632,13.715781,5.3935223,15.34207,-3.8907714,6.682707,-9.109154,-2.3108945,-7.557554,-2.6653073,4.4087005
03-01-03-01-01-01-01.wav,142.97750646922375,0.03337623059164056,0.0,2.8817232705157685,-679.53876,78.69846,0.66773736,10.390019,5.20702,11.525229,-7.0435305,2.0349185,-6.769451,-3.4523165,-8.604058,-2.1430967,2.153603
03-01-03-01-01-02-01.wav,166.5679868649259,0.03038225177157765,0.0,3.458088685566082,-658.3063,78.063484,-0.78696334,10.139038,8.304726,12.286283,-4.8716974,0.52415836,-5.5969224,-3.2145643,-9.875024,-1.7062541,3.7575343
